chainID,chainName,chainCreateSeq,trackSeq,tokenID,isChunk,chunkID,text,transcript,unitText, col 0, col 1, col 2, col 3, col 4, col 5, col 6, col 7,endNote,kind,POS_dft,agreement,charCount,definite,gapUnits,gapWords,gender,lexicality,markCount,number,numType,person,possessor,pronType,reflexive,tokenCount
723DD316887,Trail 20,1,1,5589A6DAA6E4,TRUE, ,you supposed to be,you supposed to be,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,0,0,0,0,0,0,0,0,0,0,0, ,18, ,N/A,N/A, , , , , , , , , ,4
723DD316887,Trail 20,1,1,925D5FE0E79B,FALSE,5589A6DAA6E4,you, ,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,you,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
723DD316887,Trail 20,1,1,ABE6E641B522,FALSE,5589A6DAA6E4,supposed, ,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,supposed,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
723DD316887,Trail 20,1,1,19F4874E4E4F0,FALSE,5589A6DAA6E4,to, ,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
723DD316887,Trail 20,1,1,1780A766BD00,FALSE,5589A6DAA6E4,be, ,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,be,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
10D703CDC4EAF,Trail 21,2,1,DD8AAF391FB0,TRUE, ,what you supposed,what you supposed,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,0,0,0,0,0,0,0,0,0,0,0, ,17, ,N/A,N/A, , , , , , , , , ,3
10D703CDC4EAF,Trail 21,2,1,117F6432EBB79,FALSE,DD8AAF391FB0,what, ,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,what,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
10D703CDC4EAF,Trail 21,2,1,121EE22001491,FALSE,DD8AAF391FB0,you, ,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,you,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
10D703CDC4EAF,Trail 21,2,1,3509A3CFA5C75,FALSE,DD8AAF391FB0,supposed, ,"TC: I was teaching the facts; so what the situation was; and; uh; they said; “well you supposed to be teaching social studies and this is what you supposed (unintelligible) this is the script (unintelligible)”." ,supposed,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
68D897EFBCB9,Trail 31,3,1,83610634BB67,TRUE, ,if he going to,if he going to,DM: — it was across the street; so we tell them; they wouldn’t even; they wouldn’t have to worry about that; um; anymore if he going to wait till next week. ,0,0,0,0,0,0,0,0,0,0,0, ,14, ,N/A,N/A, , , , , , , , , ,4
68D897EFBCB9,Trail 31,3,1,20629AE5B2963,FALSE,83610634BB67,if, ,DM: — it was across the street; so we tell them; they wouldn’t even; they wouldn’t have to worry about that; um; anymore if he going to wait till next week. ,if,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
68D897EFBCB9,Trail 31,3,1,2C51A52950D4C,FALSE,83610634BB67,he, ,DM: — it was across the street; so we tell them; they wouldn’t even; they wouldn’t have to worry about that; um; anymore if he going to wait till next week. ,he,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
68D897EFBCB9,Trail 31,3,1,32AC206524538,FALSE,83610634BB67,going, ,DM: — it was across the street; so we tell them; they wouldn’t even; they wouldn’t have to worry about that; um; anymore if he going to wait till next week. ,going,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
68D897EFBCB9,Trail 31,3,1,14594666238A9,FALSE,83610634BB67,to, ,DM: — it was across the street; so we tell them; they wouldn’t even; they wouldn’t have to worry about that; um; anymore if he going to wait till next week. ,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
359D1AAE88B04,Trail 11,4,1,299436C9F771A,TRUE, ,we just been together.",we just been together.","TC: We did that in the service; we did that in the; when we were in college and we just been together." ,0,0,0,0,0,0,0,0,0,0,0, ,23, ,N/A,N/A, , , , , , , , , ,4
359D1AAE88B04,Trail 11,4,1,203F365627FDB,FALSE,299436C9F771A,we, ,"TC: We did that in the service; we did that in the; when we were in college and we just been together." ,we,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
359D1AAE88B04,Trail 11,4,1,54C067D7A1F3,FALSE,299436C9F771A,just, ,"TC: We did that in the service; we did that in the; when we were in college and we just been together." ,just,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
359D1AAE88B04,Trail 11,4,1,1500D2D402E46,FALSE,299436C9F771A,been, ,"TC: We did that in the service; we did that in the; when we were in college and we just been together." ,been,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
359D1AAE88B04,Trail 11,4,1,E5F7D349E886,FALSE,299436C9F771A,together.", ,"TC: We did that in the service; we did that in the; when we were in college and we just been together." ,together.",undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
10EBE8CC69186,Trail 29,5,1,246BF3BB68618,TRUE, ,if he wait,if he wait,"TC: We told to tell Jack Holloway; if he wait to next week; he won’t need to come down (laughter) because he won’t have a store." ,0,0,0,0,0,0,0,0,0,0,0, ,10, ,N/A,N/A, , , , , , , , , ,3
10EBE8CC69186,Trail 29,5,1,E83CE589A4C9,FALSE,246BF3BB68618,if, ,"TC: We told to tell Jack Holloway; if he wait to next week; he won’t need to come down (laughter) because he won’t have a store." ,if,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
10EBE8CC69186,Trail 29,5,1,18ABD77097C2E,FALSE,246BF3BB68618,he, ,"TC: We told to tell Jack Holloway; if he wait to next week; he won’t need to come down (laughter) because he won’t have a store." ,he,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
10EBE8CC69186,Trail 29,5,1,26AD614C3A90,FALSE,246BF3BB68618,wait, ,"TC: We told to tell Jack Holloway; if he wait to next week; he won’t need to come down (laughter) because he won’t have a store." ,wait,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
62A307D32D7A,Trail 26,6,1,1A8D8A897B9B8,TRUE, ,you gonna have that;”,you gonna have that;”,"TC: I said; “Okay; you say you gonna have that;” but I say; “(unintelligible) is that what you want?" ,0,0,0,0,0,0,0,0,0,0,0, ,21, ,N/A,N/A, , , , , , , , , ,4
62A307D32D7A,Trail 26,6,1,2B6708A88C34B,FALSE,1A8D8A897B9B8,you, ,"TC: I said; “Okay; you say you gonna have that;” but I say; “(unintelligible) is that what you want?" ,you,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
62A307D32D7A,Trail 26,6,1,235CE25CBD9DD,FALSE,1A8D8A897B9B8,gonna, ,"TC: I said; “Okay; you say you gonna have that;” but I say; “(unintelligible) is that what you want?" ,gonna,undefined,undefined,undefined,undefined,undefined,undefined,undefined, , , , , , , , , , , , , , , , , , 
